r_1,a_0,a_1,logReturn
1.41732246000000e-02,0.00000000000000e+00,1.00000000000000e+00,1.07614478484237e-02
1.08695605000000e-02,0.00000000000000e+00,1.00000000000000e+00,-2.30680510342640e-03
-2.30414400000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.45368300063689e-03
8.46805110000000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.80360912172910e-03
-6.67966550000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.99936732972177e-05
-1.21041292000000e-02,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
3.89630100000000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.18278579425905e-02
1.18581838000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-6.19883656036593e-04
7.68496700000000e-04,1.00000000000000e+00,0.00000000000000e+00,4.99293010591302e-05
-9.79113210000000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.50912009043971e-02
-1.49278994000000e-02,0.00000000000000e+00,1.00000000000000e+00,-2.95693075197600e-03
-2.95256080000000e-03,0.00000000000000e+00,1.00000000000000e+00,6.68967663376643e-03
6.71210250000000e-03,0.00000000000000e+00,1.00000000000000e+00,-5.50533790095482e-03
-5.49021130000000e-03,0.00000000000000e+00,1.00000000000000e+00,1.68130314338987e-02
1.69551659000000e-02,2.00000000000000e+00,-1.00000000000000e+00,5.84840469282428e-03
-5.81554000000000e-03,0.00000000000000e+00,1.00000000000000e+00,8.83115515435586e-03
8.96968420000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.04418000689145e-02
1.04374688000000e-02,2.00000000000000e+00,-1.00000000000000e+00,5.48962641389069e-03
-5.35577420000000e-03,2.00000000000000e+00,-1.00000000000000e+00,8.95603843897162e-03
-8.84680380000000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.57443506788783e-02
-1.55219405000000e-02,0.00000000000000e+00,1.00000000000000e+00,5.11175147384303e-03
5.12484380000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.99987497913168e-05
2.74441750000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
-1.07550868000000e-02,2.00000000000000e+00,-1.00000000000000e+00,3.45408337980017e-03
-3.36005560000000e-03,0.00000000000000e+00,1.00000000000000e+00,-5.26953310455258e-03
-5.15601330000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.59060020954496e-03
4.63007450000000e-03,0.00000000000000e+00,1.00000000000000e+00,1.37481448445586e-02
1.39435478000000e-02,2.00000000000000e+00,-1.00000000000000e+00,9.82409996109199e-03
-9.82251980000000e-03,0.00000000000000e+00,1.00000000000000e+00,4.25630260390809e-03
4.36439840000000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.61754997595593e-02
-2.64710918000000e-02,0.00000000000000e+00,1.00000000000000e+00,-2.14292910455755e-02
-2.11038963000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-6.39560381948692e-03
6.42519050000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.93546563127060e-05
-1.79186932000000e-02,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
5.45231990000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
1.25156456000000e-02,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
3.91469610000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
7.18274120000000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.23377104930617e-03
-8.14996640000000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.70516908991019e-03
-3.69831090000000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.22669202071935e-02
-3.17518974000000e-02,1.00000000000000e+00,0.00000000000000e+00,4.99987500415486e-05
1.34146395000000e-02,0.00000000000000e+00,1.00000000000000e+00,1.68290214898384e-02
1.70214272000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-1.15871140300736e-02
1.15702395000000e-02,2.00000000000000e+00,-1.00000000000000e+00,4.22486559397538e-03
-4.08497090000000e-03,0.00000000000000e+00,1.00000000000000e+00,4.81089485034720e-03
4.92207160000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.99937948960867e-05
-6.53061800000000e-03,0.00000000000000e+00,1.00000000000000e+00,2.16923021081189e-02
2.19792906000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-9.56455203838015e-04
1.00599550000000e-03,0.00000000000000e+00,1.00000000000000e+00,-5.13430852680348e-03
-5.02105230000000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.15699202723279e-02
-1.15032411000000e-02,0.00000000000000e+00,1.00000000000000e+00,9.75220766345655e-03
9.79991540000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.19971629341963e-02
3.15406702000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-4.56769740349170e-03
4.70402730000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.95335877788336e-05
-1.16983180000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
1.79687482000000e-02,0.00000000000000e+00,1.00000000000000e+00,2.34638136333921e-02
2.37912546000000e-02,0.00000000000000e+00,1.00000000000000e+00,-7.49909353768894e-04
-7.49625800000000e-04,1.00000000000000e+00,0.00000000000000e+00,4.99987499194302e-05
-2.17554411000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-6.82508449202049e-03
6.90184650000000e-03,0.00000000000000e+00,1.00000000000000e+00,6.73112568175765e-03
6.85452050000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.67306520881875e-02
1.66414670000000e-02,0.00000000000000e+00,1.00000000000000e+00,-4.20341908205471e-03
-4.09290740000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.99936443957825e-05
1.86840990000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
6.71139850000000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.37099262933556e-02
-1.37043383000000e-02,1.00000000000000e+00,0.00000000000000e+00,5.13553866990098e-05
3.00413530000000e-03,0.00000000000000e+00,1.00000000000000e+00,1.18599418305135e-02
1.19805498000000e-02,2.00000000000000e+00,-1.00000000000000e+00,2.26718472282024e-03
-2.21975920000000e-03,1.00000000000000e+00,0.00000000000000e+00,5.02227062636924e-05
-3.33640630000000e-03,0.00000000000000e+00,1.00000000000000e+00,9.20742585866498e-03
9.29994460000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.01323915923074e-03
4.05519440000000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.84899820327552e-04
-1.84454600000000e-04,1.00000000000000e+00,0.00000000000000e+00,4.99937286301873e-05
-5.87480390000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.38414314424749e-03
6.46380780000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.93532935612182e-05
-4.40367640000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
-3.31672980000000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.16076342527700e-03
-1.11009000000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.65900992248678e-03
3.70232140000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.96296881608528e-05
1.95506311000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-4.97749459850946e-03
5.06512740000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.94947598742814e-05
3.05949570000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
2.33232010000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
1.93340621000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-8.36481058399331e-03
8.42992290000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.91537605982050e-05
3.48912300000000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.44380067876606e-03
-1.39275890000000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.49284880407183e-03
-3.48675340000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.99987499160997e-05
1.03210539000000e-02,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
-3.40652020000000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.45959563767338e-02
-2.42459406000000e-02,1.00000000000000e+00,0.00000000000000e+00,4.99961879174633e-05
2.53849578000000e-02,2.00000000000000e+00,-1.00000000000000e+00,7.04859895774561e-03
-6.97349880000000e-03,0.00000000000000e+00,1.00000000000000e+00,-5.02765066461311e-03
-4.91573060000000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.83820377936971e-03
3.88084230000000e-03,1.00000000000000e+00,0.00000000000000e+00,4.96117020439211e-05
-6.67779440000000e-03,1.00000000000000e+00,0.00000000000000e+00,9.99950003332973e-05
1.16766860000000e-02,0.00000000000000e+00,1.00000000000000e+00,1.62570568302967e-02
1.64399218000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-1.38095378173797e-02
1.37646211000000e-02,2.00000000000000e+00,-1.00000000000000e+00,1.02789017513714e-02
-1.01833042000000e-02,2.00000000000000e+00,-1.00000000000000e+00,-1.03638177828943e-02
1.04592832000000e-02,2.00000000000000e+00,-1.00000000000000e+00,1.11167101725691e-02
