epoch,average,stdev,sharpe,
49,3.87607e-05,0.00530761,0.00730285,
99,2.24424e-05,0.00550048,0.00408009,
149,-0.000449282,0.00548089,-0.0819724,
199,0.000102463,0.00563053,0.0181978,
249,9.74647e-06,0.00547188,0.00178119,
299,-1.84898e-05,0.00542771,-0.00340655,
349,9.18615e-05,0.005414,0.0169674,
399,-8.83459e-05,0.00547766,-0.0161284,
449,0.000125504,0.00544275,0.023059,
499,6.62647e-05,0.00537212,0.0123349,
549,0.000281541,0.0054703,0.0514673,
599,-4.8618e-05,0.00536943,-0.00905459,
649,-5.59851e-06,0.00572315,-0.000978222,
699,0.000461128,0.00542077,0.0850669,
749,0.000148189,0.00518975,0.0285541,
799,-4.64811e-06,0.00561998,-0.000827068,
849,0.0001494,0.00542261,0.0275513,
899,0.000139734,0.00542452,0.0257596,
949,-0.000240757,0.00561374,-0.0428871,
999,9.44251e-05,0.00561992,0.0168019,
