Date,Open,High,Low,Close,Volume,Adj Close
2015-03-20,209.710007,211.020004,209.490005,210.410004,177715100,206.013548
2015-03-19,209.960007,210.470001,209.029999,209.50,117917300,204.21102
2015-03-18,207.389999,211.270004,206.619995,210.460007,228808500,205.146791
2015-03-17,207.690002,208.419998,206.979996,207.960007,94510400,202.709905
2015-03-16,206.710007,208.690002,205.860001,208.580002,136099200,203.314248
2015-03-13,206.770004,207.929993,204.580002,205.830002,162410900,200.633674
2015-03-12,205.259995,207.179993,205.199997,207.100006,93993500,201.871616
2015-03-11,205.289993,205.50,204.399994,204.50,110145700,199.337249
2015-03-10,206.710007,206.809998,204.929993,204.979996,157121300,199.805127
2015-03-09,207.740005,208.789993,207.550003,208.360001,89818900,203.099801
2015-03-06,209.419998,209.940002,207.100006,207.50,188128000,202.261512
2015-03-05,210.619995,210.800003,209.850006,210.460007,76873000,205.146791
2015-03-04,210.399994,210.490005,209.059998,210.229996,114497200,204.922587
2015-03-03,211.470001,212.050003,210.080002,211.119995,110325800,205.790118
2015-03-02,210.779999,212.059998,210.720001,211.990005,87491400,206.638164
2015-02-27,211.259995,211.580002,210.600006,210.660004,108076000,205.341739
2015-02-26,211.520004,211.710007,210.649994,211.380005,72697900,206.043563
2015-02-25,211.660004,212.240005,211.220001,211.630005,73061700,206.287252
2015-02-24,211.119995,212.050003,210.759995,211.809998,72472300,206.4627
2015-02-23,210.940002,211.210007,210.479996,211.210007,74411100,205.877857
2015-02-20,209.479996,211.330002,208.729996,211.240005,140896400,205.907098
2015-02-19,209.410004,210.419998,209.240005,209.979996,91462500,204.678898
2015-02-18,209.660004,210.220001,209.339996,210.130005,80652900,204.82512
2015-02-17,209.399994,210.320007,209.100006,210.110001,76968200,204.805621
2015-02-13,209.070007,209.839996,208.759995,209.779999,93670400,204.48395
2015-02-12,207.889999,208.990005,206.970001,208.919998,97545900,203.645661
2015-02-11,206.610001,207.449997,205.830002,206.929993,91087800,201.705895
2015-02-10,205.880005,207.119995,204.679993,206.809998,96164200,201.588929
