r_1,r_2,a_0,a_1,a_2,logReturn
7.87369118063000e-03,1.68759036906000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-9.04297725804195e-03
3.53636585473000e-03,-2.88810394205000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.40392085444357e-03
8.47335585874000e-03,2.95966951966000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.09033343721570e-02
5.64203883094000e-03,-1.95906006355000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.49195521707490e-02
-4.36130507051000e-03,7.82565297957000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.22618279359242e-02
2.93465059556000e-03,-3.16569019902000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-6.11902389442170e-03
-2.34894439982000e-02,-5.08754393867000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.82346339894154e-02
-1.33257190651000e-03,-1.13691392185000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,9.98653545716952e-03
-1.24618536505000e-02,-1.39048190173000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.44400744389963e-03
-5.12049375581000e-03,-1.90083196195000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.39851639779361e-02
5.76833345770000e-03,4.95683895539000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-8.11823942211472e-04
1.04707049026000e-02,1.69930469941000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-6.54370550835434e-03
8.29786952511000e-03,1.40059334576000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.72441718940100e-03
-1.42048674527000e-02,-5.89333153636000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,8.27718530798717e-03
-1.08985886361000e-02,1.08898695663000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.15544822962536e-02
2.79232764208000e-03,2.63522990802000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.32867188707376e-02
-9.03599514146000e-03,-5.54572427855000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,3.48419400338065e-03
-1.59021621270000e-02,-7.04325322182000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.89838233930248e-03
-6.96688576953000e-03,-5.34850972216000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.61706788806029e-03
-5.43375264748000e-04,4.26688544322000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,4.79872837150542e-03
1.46018535197000e-02,1.29930206470000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.60754008749165e-03
-1.46297762150000e-02,-1.78633821342000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.22838905873495e-03
6.67759852836000e-03,1.13855629147000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.71908175785523e-03
1.53594621651000e-02,1.07619464691000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.58697940222091e-03
2.95432824791000e-04,3.94147165781000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.65270183324036e-03
5.34886492111000e-03,8.22373787288000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.87901333630480e-03
2.12609113646000e-02,8.23389550480000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.29428940716414e-02
2.29992304941000e-03,-2.17781514958000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.43726901798440e-02
-2.85953177489000e-03,-9.51794413111000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.63634303891233e-03
-2.42451173600000e-02,-1.32641419905000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.09211222247820e-02
-4.34165339725000e-03,2.39581640870000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,6.71487448965270e-03
6.28388051618000e-03,2.61496613321000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.96710312024210e-02
6.54375065602000e-03,-9.57551975893000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,7.47330777276646e-03
7.73393462689000e-03,3.26659936443000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.45738633939852e-03
6.64057897996000e-03,3.36246178109000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-3.28350199627307e-03
4.08732449816000e-03,1.32006690064000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.77109353314112e-03
-7.00198283683000e-03,2.61207668885000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.36837302887546e-02
-8.84623024905000e-03,-3.64197774719000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.21784179248248e-03
3.80807282623000e-03,-2.05023836148000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-5.87553840725405e-03
4.54223085529000e-03,7.33523479418000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.78911075083026e-03
4.69103263776000e-03,4.26814438747000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.25515218442707e-03
-2.80809365404000e-03,5.16782393036000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.00789536330778e-03
1.42213572402000e-02,6.49487834595000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,7.69678252369855e-03
9.18963864364000e-03,8.57079104797000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.18656188460625e-04
3.77199647337000e-03,-1.54763981868000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.90654876953035e-02
1.25968617202000e-02,-6.60039120735000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.90153105098668e-02
3.26409836168000e-03,-4.81644382728000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.04806942234312e-03
-7.11559829896000e-03,9.10383002973000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.63524030662425e-02
-2.34393693813000e-02,-1.57532214780000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-7.71583857386694e-03
6.65532952493000e-03,-1.46099737867000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.14946673667990e-02
-4.32054615704000e-03,-6.36527164000000e-04,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,3.67724961565199e-03
2.24947264979000e-02,2.40360302833000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.54011719582737e-03
-8.20959971419000e-03,-2.90642888216000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.06402069258694e-02
-1.23465061493000e-02,-1.00166777972000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.33254662506887e-03
-5.71087922104000e-03,3.16707971335000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.91760282411250e-03
-5.72432510852000e-03,-7.66106156523000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.93861435581688e-03
-4.02565720129000e-03,3.08877569846000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-7.13986115434218e-03
3.00455832397000e-02,1.38653925875000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.60506864352393e-02
5.09997683968000e-03,7.90267140544000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.79877434043345e-03
1.30025580541000e-02,2.71415383489000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.40399572116451e-02
3.00182183709000e-03,-2.35294874996000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,5.34048477848954e-03
1.13204297879000e-02,1.66896496801000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,5.35485701975050e-03
2.81768366676000e-02,5.23185079804000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.32123192816305e-02
-2.37799168073000e-02,-3.14675036014000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,7.65818787377831e-03
2.64081834717000e-04,6.05658659783000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,5.77579271276219e-03
1.34270518222000e-02,1.12018432542000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.22768802347215e-03
-3.13607615153000e-03,-9.84326832842000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-6.72978647655038e-03
1.64845887533000e-02,4.32691796824000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.22321797842784e-02
1.38179731617000e-02,1.66138740460000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.79199962342328e-03
-5.98015598733000e-03,1.30205499012000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.91835389772061e-02
-9.31352246009000e-03,-6.62008852437000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.69706775533839e-03
-1.12857311390000e-02,-2.33810899455000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.20227944957522e-02
2.16506436169000e-03,-1.07264732496000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.23248158416903e-03
-1.10489894072000e-02,8.26400178784000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.91288623234505e-02
3.26683487105000e-03,9.83863648056000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,6.55030146635621e-03
-2.06964362351000e-02,-2.64711898445000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,5.75814363477114e-03
9.87283697599000e-03,1.03094835270000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,4.36551248645980e-04
2.48360582995000e-05,-1.08031958179000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.08870816622007e-02
-1.03451293392000e-02,1.71239129106000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.78533708340406e-02
1.85962399059000e-03,9.64808365530000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-7.81894812528994e-03
-7.04541803127000e-03,-5.47898971101000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.56520275109609e-03
1.37366159225000e-02,-1.17068623352000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.50195327517939e-02
1.07513155726000e-03,-4.59415161658000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-5.68541455750547e-03
1.24676928460000e-02,9.35732282689000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.10554282526459e-03
-1.01474475081000e-02,-9.21913992376000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,9.27876973326840e-04
-4.83669413438000e-03,-8.80835935612000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.96379898059528e-03
-1.53805321387000e-02,-1.34655591744000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.91680886920691e-03
1.75213870073000e-02,-3.58662595838000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.08883249344035e-02
-9.54442421995000e-03,-2.26372901025000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.30078951837340e-02
-8.54202995812000e-03,6.99631431344000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.56603296264663e-02
2.74626311370000e-03,1.10610270515000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.34952440496149e-03
-5.01995314096000e-05,-7.37624897146000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-7.35301673010759e-03
-1.21740517666000e-02,-1.05215475934000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.65114029051999e-03
1.21573644901000e-03,-2.15558735791000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.30348876547325e-02
3.26684396400000e-03,2.49314474643000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.14332613055954e-02
4.91096714737000e-03,-1.51001116862000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.02140123136350e-02
-6.20102493476000e-04,2.27704860068000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.31212210404083e-02
-1.00596795876000e-02,1.26451803603000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.12605588854887e-02
1.04956397466000e-02,-1.85006942903000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.85838941992106e-02
3.94288768492000e-04,-7.95510218517000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-8.38444235993217e-03
-8.27315888048000e-03,1.61852729361000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.41641137561253e-02
2.70649216963000e-02,2.77735472842000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,7.08374631337330e-04
-9.22170075188000e-03,7.79637528373000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.68748907881252e-02
-4.50350416015000e-03,-2.19236807921000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.31381087794028e-03
1.54412380137000e-02,9.10601587364000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.31523897440014e-03
6.89562998556000e-03,1.56845566430000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.82777707649949e-03
1.32813196389000e-02,1.77351263444000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.46375445046254e-03
-8.59109988678000e-03,-1.04607664783000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.86792094045669e-03
3.27274919138000e-03,-5.39057177884000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.80455984442770e-03
-1.32695933418000e-02,1.45343694343000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.81978104705313e-02
-4.96021769811000e-03,-1.05264096361000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,5.55075793756328e-03
1.88494497955000e-02,1.02515517773000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.56114659942269e-03
9.81391621102000e-03,2.37677463623000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.40521000713954e-02
5.69688184414000e-03,1.58925414457000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.02479913472333e-02
-2.25263009647000e-02,-2.59094619745000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.37745099556498e-03
1.13488006202000e-02,-5.72117688545000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.69259224727771e-02
2.11545644761000e-02,1.28093241033000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.31061137915548e-03
-2.11306652626000e-03,9.31620803106000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.14950906833927e-02
1.18266805196000e-03,2.10773824440000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-9.25498333931493e-04
-4.70849981890000e-03,-2.97271739754000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.73729063720951e-03
-1.73142456475000e-03,-4.26348218904000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.52885736740185e-03
9.64728529611000e-03,9.01949998345000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-6.27982452371269e-04
-7.18892226866000e-03,2.15135225745000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.82982457857940e-02
-1.70720434860000e-03,-3.05858773343000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.84695422090007e-02
1.20497809253000e-02,9.16824843915000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.87738882956116e-03
-8.32698556847000e-03,-2.60378504617000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.78695790295194e-02
-2.73862919205000e-03,3.60963626075000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-6.36850137740419e-03
1.77866394232000e-02,1.67423141436000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.04487096719475e-03
-4.77764996034000e-03,1.65719444433000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,6.41422918331385e-03
-3.54815659127000e-03,-7.98692698187000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-4.44865098117978e-03
1.16936214472000e-02,8.32531347080000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-3.37399349635680e-03
-1.62582683173000e-02,-2.52638261859000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-9.04635301156914e-03
8.11342929900000e-03,-3.99078158650000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.20315407469940e-02
-9.01999563173000e-03,-1.36358057654000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-4.62649588019582e-03
-1.32486594079000e-03,1.11446043347000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.23923667296210e-02
-1.11699224119000e-02,4.09922447178000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.53869207156078e-02
-1.18213727068000e-02,-8.47170789612000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.35528749744044e-03
9.02786193453000e-03,2.73882759815000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.81938967740041e-02
2.14883841222000e-02,2.18111110248000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,3.22674837474791e-04
-2.49544936703000e-03,2.05715757288000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.56300161546421e-03
2.48794297624000e-03,-1.09778919249000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.57931875774743e-03
6.02544115973000e-03,4.53265443636000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.49390203956178e-03
6.96518632568000e-03,-5.55858932595000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.26028591059519e-02
-6.28917137093000e-03,-1.44775373474000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-8.22207478463959e-03
1.09095867610000e-02,7.99227464686000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.92157576340853e-03
3.87705898219000e-03,1.91907076969000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.54321136091584e-02
-2.81771139422000e-03,-2.59552969634000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.28739701737057e-02
-7.51322139787000e-03,-2.19570471721000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.43405074093623e-02
3.21595333844000e-03,-8.61142447553000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.17579810330173e-02
3.89968878374000e-03,5.15717338013000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.25827589357729e-03
-4.21196221969000e-03,-2.03336616491000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.17622635551590e-03
-1.07148548148000e-02,-6.04208337735000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,4.66188793191643e-03
1.03233730820000e-02,1.04592007545000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.35818448756997e-04
-1.78008446264000e-02,-2.79487756879000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.01997723332225e-02
5.86298274711000e-04,2.58948830878000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.56343553243069e-02
1.36975859597000e-02,1.07349334788000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.95827247486354e-03
-1.51900396545000e-02,-1.18110207819000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.38474064983548e-03
3.69862556645000e-03,8.24257639196000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,4.53365824848907e-03
-1.37033294731000e-02,-1.14902987356000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.21058559176795e-03
1.37293230644000e-02,-1.95984428894000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.58135449755893e-02
-1.67453022118000e-03,1.86457471175000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,2.01165754001787e-02
4.93757320285000e-03,-4.82764607864000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-9.81321172872981e-03
-1.19800864445000e-03,-2.00482031762000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.90301241759482e-02
8.93437880583000e-03,-1.19132212110000e-04,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-9.09474310089683e-03
5.07133094263000e-03,-1.26039353627000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-6.35185486469702e-03
-9.75572736302000e-03,-2.20742592927000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-1.23950339551029e-02
-1.57751781607000e-03,-2.72701584260000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.14883785953226e-03
1.28029334379000e-02,1.32353059827000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.32466044760927e-04
-5.16789720983000e-03,2.91510122266000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.11584297229532e-03
-1.64501345473000e-02,2.02479946629000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,1.83063456932058e-02
1.64210667241000e-02,1.42780200350000e-02,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-2.14534629969186e-03
6.19309960587000e-03,-3.15775512855000e-03,1.00000000000000e+00,-1.00000000000000e+00,1.00000000000000e+00,-9.39484844385644e-03
1.66360749578000e-03,-1.04246648887000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.20157927376993e-02
-1.34846086368000e-02,-2.43522021779000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.08089656268425e-02
2.33192082104000e-03,-5.08139021733000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.83603449250701e-03
1.80340640267000e-03,3.73274557269000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.93120274219749e-03
