r_1,r_2,a_0,a_1,a_2,logReturn
-4.02567885245000e-03,-1.46909417478000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.06087901552628e-02
2.04513688450000e-03,6.74981409764000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.71577904101027e-03
-3.58436920523000e-03,-1.31854210966000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.26839796594950e-03
-7.43189322132000e-04,1.70162640649000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.79190448067626e-02
-3.01103844196000e-03,-5.81288159716000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.79792530908750e-03
7.87369118063000e-03,1.68759036906000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-9.04297725804195e-03
3.53636585473000e-03,-2.88810394205000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.40392085444357e-03
8.47335585874000e-03,2.95966951966000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.13496294117567e-02
5.64203883094000e-03,-1.95906006355000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.49195521707490e-02
-4.36130507051000e-03,7.82565297957000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.22618279359242e-02
2.93465059556000e-03,-3.16569019902000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.08180904414784e-03
-2.34894439982000e-02,-5.08754393867000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.85733212632766e-02
-1.33257190651000e-03,-1.13691392185000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,9.98653545716952e-03
-1.24618536505000e-02,-1.39048190173000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.44192529268217e-03
-5.12049375581000e-03,-1.90083196195000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.37922736685764e-02
5.76833345770000e-03,4.95683895539000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,8.11165418667477e-04
1.04707049026000e-02,1.69930469941000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-6.54370550835434e-03
8.29786952511000e-03,1.40059334576000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.72441718940100e-03
-1.42048674527000e-02,-5.89333153636000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.34626932352154e-03
-1.08985886361000e-02,1.08898695663000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.20293319303360e-02
2.79232764208000e-03,2.63522990802000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.38419452345370e-02
-9.03599514146000e-03,-5.54572427855000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.49637606827807e-03
-1.59021621270000e-02,-7.04325322182000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.89838233930248e-03
-6.96688576953000e-03,-5.34850972216000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.61968703252095e-03
-5.43375264748000e-04,4.26688544322000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.82186724728566e-03
1.46018535197000e-02,1.29930206470000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.60754008749165e-03
-1.46297762150000e-02,-1.78633821342000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.22838905873495e-03
6.67759852836000e-03,1.13855629147000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-4.71908175785523e-03
1.53594621651000e-02,1.07619464691000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.58697940222091e-03
2.95432824791000e-04,3.94147165781000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.65270183324036e-03
5.34886492111000e-03,8.22373787288000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.87901333630480e-03
2.12609113646000e-02,8.23389550480000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,1.29428940716414e-02
2.29992304941000e-03,-2.17781514958000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.37927683838954e-02
-2.85953177489000e-03,-9.51794413111000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,6.63634303891233e-03
-2.42451173600000e-02,-1.32641419905000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-1.10417113154197e-02
-4.34165339725000e-03,2.39581640870000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-6.76026901935497e-03
6.28388051618000e-03,2.61496613321000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.00657583443562e-02
6.54375065602000e-03,-9.57551975893000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,7.47330777276646e-03
7.73393462689000e-03,3.26659936443000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.45738633939852e-03
6.64057897996000e-03,3.36246178109000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,3.27275588616442e-03
4.08732449816000e-03,1.32006690064000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,2.76343578920964e-03
-7.00198283683000e-03,2.61207668885000e-02,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-3.36837302887546e-02
-8.84623024905000e-03,-3.64197774719000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-5.21784179248248e-03
3.80807282623000e-03,-2.05023836148000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,5.84121800834385e-03
4.54223085529000e-03,7.33523479418000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-2.79691165225998e-03
4.69103263776000e-03,4.26814438747000e-04,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,4.25515218442707e-03
-2.80809365404000e-03,5.16782393036000e-03,1.00000000000000e+00,1.00000000000000e+00,-1.00000000000000e+00,-8.00789536330778e-03
