Stat,experiment4,experiment1,experiment2,experiment3,experiment0,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,12.14%,2.38%,-23.34%,25.66%,21.57%,3.29%
Daily Sharpe,1.42,0.38,-2.96,2.74,2.35,0.48
CAGR,52.63%,9.06%,-62.48%,132.23%,105.57%,12.67%
Max Drawdown,-12.08%,-12.84%,-24.80%,-5.61%,-6.32%,-14.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.87%,0.45%,-2.09%,-1.94%,-0.35%,4.43%
3m,13.91%,4.87%,-22.43%,25.65%,20.63%,-3.07%
6m,-,-,-,-,-,-
YTD,12.14%,2.38%,-23.34%,25.66%,21.57%,3.29%
1Y,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-
Since Incep. (ann.),52.63%,9.06%,-62.48%,132.23%,105.57%,12.67%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,1.42,0.38,-2.96,2.74,2.35,0.48
Daily Mean (ann.),31.66%,8.46%,-65.15%,60.59%,52.20%,10.71%
Daily Vol (ann.),22.34%,22.42%,22.04%,22.10%,22.18%,22.41%
Daily Skew,0.07,0.41,0.51,0.81,0.06,0.10
Daily Kurt,1.92,1.87,2.44,1.44,1.96,1.91
Best Day,4.60%,4.69%,4.60%,4.69%,4.60%,4.69%
Worst Day,-4.69%,-4.60%,-4.69%,-2.72%,-4.69%,-4.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.89,-2.75,-6.50,3.07,2.87,-0.25
Monthly Mean (ann.),24.93%,-31.26%,-42.05%,79.32%,82.71%,-3.52%
Monthly Vol (ann.),27.92%,11.36%,6.47%,25.80%,28.84%,14.23%
Monthly Skew,1.51,-0.57,-1.46,-1.64,0.95,1.66
Monthly Kurt,-,-,-,-,-,-
Best Month,11.25%,0.45%,-2.09%,11.68%,15.99%,4.43%
Worst Month,-3.87%,-6.07%,-5.62%,-1.94%,-0.35%,-3.05%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-
Best Year,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-2.99%,-3.74%,-24.80%,-2.05%,-2.18%,-6.90%
Avg. Drawdown Days,6.17,14.67,97.00,5.54,6.91,30.67
Avg. Up Month,11.25%,0.45%,-,10.88%,10.51%,4.43%
Avg. Down Month,-2.51%,-4.13%,-3.50%,-1.94%,-0.35%,-2.65%
Win Year %,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-
