Stat,experiment4,experiment1,experiment2,experiment3,experiment0,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-4.37%,11.68%,11.11%,1.01%,1.09%,3.29%
Daily Sharpe,-0.40,1.37,1.31,0.23,0.23,0.48
CAGR,-15.19%,50.34%,47.51%,3.79%,4.10%,12.67%
Max Drawdown,-13.19%,-9.33%,-9.34%,-11.50%,-18.46%,-14.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-4.26%,0.06%,-1.13%,0.88%,3.95%,4.43%
3m,-6.99%,8.19%,7.64%,0.61%,-2.07%,-3.07%
6m,-,-,-,-,-,-
YTD,-4.37%,11.68%,11.11%,1.01%,1.09%,3.29%
1Y,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-
Since Incep. (ann.),-15.19%,50.34%,47.51%,3.79%,4.10%,12.67%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.40,1.37,1.31,0.23,0.23,0.48
Daily Mean (ann.),-8.87%,30.60%,29.29%,5.05%,5.26%,10.71%
Daily Vol (ann.),22.42%,22.34%,22.35%,22.42%,22.42%,22.41%
Daily Skew,-0.38,0.59,0.72,0.12,0.14,0.10
Daily Kurt,1.87,1.72,1.69,1.90,1.90,1.91
Best Day,4.21%,4.69%,4.69%,4.69%,4.69%,4.69%
Worst Day,-4.69%,-3.54%,-3.54%,-4.60%,-4.60%,-4.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-3.04,0.61,2.93,-1.70,-0.45,-0.25
Monthly Mean (ann.),-22.18%,16.63%,42.47%,-18.98%,-10.47%,-3.52%
Monthly Vol (ann.),7.30%,27.32%,14.50%,11.18%,23.04%,14.23%
Monthly Skew,-1.63,0.74,-1.22,-1.43,-1.55,1.66
Monthly Kurt,-,-,-,-,-,-
Best Month,-0.39%,9.85%,6.96%,0.88%,3.95%,4.43%
Worst Month,-4.26%,-5.75%,-1.13%,-5.23%,-8.46%,-3.05%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-
Best Year,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-5.03%,-3.67%,-3.40%,-5.32%,-8.16%,-6.90%
Avg. Drawdown Days,23.00,11.43,11.86,23.50,30.33,30.67
Avg. Up Month,-,4.96%,5.87%,0.88%,2.92%,4.43%
Avg. Down Month,-1.85%,-5.75%,-1.13%,-2.81%,-8.46%,-2.65%
Win Year %,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-
