,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.0550094219357,0.0203450384335,0.0733677786516,0.0131151736288
Daily Sharpe,0.705032401797,0.281535546594,0.805915952205,0.222974660425
Monthly Sharpe,-0.762004580927,-0.343327902902,0.688521144409,-0.583576862826
Yearly Sharpe,,,,
Max Drawdown,-0.146788214546,-0.0987077356947,-0.121079778808,-0.149725930624
Avg Drawdown,-0.0542641191021,-0.0460042252962,-0.0417150964062,-0.0582795796985
Avg Up Month,0.0240215381603,0.0531200695346,0.0947387284721,0.0388627975816
Avg Down Month,-0.0934587971718,-0.0411538538645,-0.0335299199569,-0.0362931615676
Win Year %,,,,
Win 12m %,,,,
Reallocation Freq,0.0,0.502040816327,0.191836734694,0.195918367347
Short Freq,0.0,0.508,0.192,0.32
