,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.0328536742666,0.00203403195949,-0.0812290707294
Daily Sharpe,0.478067307382,0.120737387992,-0.926121162121
Monthly Sharpe,-0.247373180033,0.421688137475,0.122261444828
Yearly Sharpe,,,
Max Drawdown,-0.146788214546,-0.170167667678,-0.193970117959
Avg Drawdown,-0.06902505389,-0.0924702767333,-0.0922114386577
Avg Up Month,0.044265037094,0.0467080246745,0.0252587715998
Avg Down Month,-0.0265311419898,-0.0645223455398,-0.0515033768388
Win Year %,,,
Win 12m %,,,
Reallocation Freq,0.0,0.197959183673,0.395918367347
Short Freq,0.0,0.24,0.378
