Stat,experiment4,experiment1,experiment2,experiment3,experiment0,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-10.45%,-24.75%,-5.92%,-1.70%,2.21%,3.29%
Daily Sharpe,-1.14,-3.18,-0.58,-0.08,0.36,0.48
CAGR,-33.45%,-64.98%,-20.16%,-6.15%,8.41%,12.67%
Max Drawdown,-21.91%,-29.41%,-17.56%,-18.24%,-9.85%,-14.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,3.29%,0.11%,-0.68%,4.55%,2.50%,4.43%
3m,-11.16%,-25.36%,-5.18%,-2.10%,3.07%,-3.07%
6m,-,-,-,-,-,-
YTD,-10.45%,-24.75%,-5.92%,-1.70%,2.21%,3.29%
1Y,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-
Since Incep. (ann.),-33.45%,-64.98%,-20.16%,-6.15%,8.41%,12.67%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-1.14,-3.18,-0.58,-0.08,0.36,0.48
Daily Mean (ann.),-25.59%,-69.89%,-13.05%,-1.88%,8.05%,10.71%
Daily Vol (ann.),22.37%,21.98%,22.41%,22.43%,22.42%,22.41%
Daily Skew,-0.14,-0.03,0.56,-0.27,0.60,0.10
Daily Kurt,1.89,2.04,2.00,1.90,1.86,1.91
Best Day,4.69%,4.69%,4.69%,4.69%,4.69%,4.69%
Worst Day,-4.60%,-4.60%,-4.21%,-4.60%,-4.21%,-4.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-1.54,-2.78,1.90,-0.28,3.32,-0.25
Monthly Mean (ann.),-37.41%,-91.15%,21.79%,-5.88%,26.00%,-3.52%
Monthly Vol (ann.),24.27%,32.78%,11.47%,20.63%,7.84%,14.23%
Monthly Skew,-0.67,-1.24,1.47,-1.08,-0.65,1.66
Monthly Kurt,-,-,-,-,-,-
Best Month,3.29%,0.11%,5.57%,4.55%,4.24%,4.43%
Worst Month,-10.60%,-18.16%,-0.68%,-7.06%,-0.24%,-3.05%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-
Best Year,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-8.78%,-15.68%,-10.15%,-5.91%,-5.59%,-6.90%
Avg. Drawdown Days,31.00,47.50,48.00,23.50,23.00,30.67
Avg. Up Month,3.29%,0.11%,3.06%,2.80%,3.37%,4.43%
Avg. Down Month,-6.32%,-11.45%,-0.68%,-7.06%,-0.24%,-2.65%
Win Year %,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-
