Stat,experiment4,experiment1,experiment2,experiment3,experiment0,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09,2000-04-09
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,3.33%,7.15%,-2.62%,-7.03%,0.18%,3.29%
Daily Sharpe,0.48,0.90,-0.19,-0.72,0.13,0.48
CAGR,12.85%,29.01%,-9.32%,-23.57%,0.67%,12.67%
Max Drawdown,-14.68%,-15.23%,-18.58%,-20.49%,-16.11%,-14.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,2.10%,1.86%,4.54%,4.54%,4.54%,4.43%
3m,0.10%,6.28%,-8.20%,-9.93%,0.22%,-3.07%
6m,-,-,-,-,-,-
YTD,3.33%,7.15%,-2.62%,-7.03%,0.18%,3.29%
1Y,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-
Since Incep. (ann.),12.85%,29.01%,-9.32%,-23.57%,0.67%,12.67%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.48,0.90,-0.19,-0.72,0.13,0.48
Daily Mean (ann.),10.83%,20.07%,-4.26%,-16.06%,2.94%,10.71%
Daily Vol (ann.),22.42%,22.39%,22.42%,22.40%,22.43%,22.41%
Daily Skew,0.10,-0.51,0.15,0.23,0.57,0.10
Daily Kurt,1.90,2.04,1.92,1.96,1.89,1.91
Best Day,4.69%,4.60%,4.69%,4.69%,4.69%,4.69%
Worst Day,-4.60%,-4.69%,-4.60%,-4.60%,-3.54%,-4.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.84,5.37,-0.65,-1.59,-0.18,-0.25
Monthly Mean (ann.),-7.78%,82.15%,-10.95%,-44.90%,-6.36%,-3.52%
Monthly Vol (ann.),9.27%,15.30%,16.83%,28.24%,35.33%,14.23%
Monthly Skew,0.24,-1.38,1.30,0.14,-1.68,1.66
Monthly Kurt,-,-,-,-,-,-
Best Month,2.10%,10.28%,4.54%,4.54%,6.14%,4.43%
Worst Month,-3.25%,1.86%,-4.80%,-11.76%,-12.27%,-3.05%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-
Best Year,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-6.90%,-4.71%,-18.58%,-9.15%,-6.90%,-6.90%
Avg. Drawdown Days,30.33,18.20,89.00,30.33,22.50,30.67
Avg. Up Month,2.10%,6.85%,4.54%,4.54%,5.34%,4.43%
Avg. Down Month,-2.02%,-,-3.64%,-7.88%,-12.27%,-2.65%
Win Year %,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-
