Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-19.31%,-20.04%,12.10%,-38.45%,-25.49%,-11.41%,-20.15%,-18.07%,-13.98%,-22.60%,8.41%
Daily Sharpe,-1.00,-1.04,0.68,-2.40,-1.41,-0.52,-1.05,-0.92,-0.67,-1.21,0.52
CAGR,-27.00%,-27.97%,18.24%,-50.92%,-35.06%,-16.28%,-28.11%,-25.35%,-19.82%,-31.33%,12.57%
Max Drawdown,-27.98%,-21.31%,-15.65%,-40.43%,-26.15%,-18.17%,-28.39%,-21.68%,-28.06%,-23.81%,-15.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,3.73%,-3.71%,-4.08%,-3.71%,-3.72%,-4.44%,3.33%,3.33%,-3.71%,-4.08%,-1.14%
3m,-2.24%,-8.74%,-4.78%,-6.86%,-12.12%,-4.22%,-4.60%,-4.63%,-13.24%,-9.17%,9.20%
6m,-12.80%,-10.39%,-10.52%,-26.89%,-12.83%,-5.94%,-13.12%,-10.32%,-20.01%,-16.14%,2.66%
YTD,-19.31%,-20.04%,12.10%,-38.45%,-25.49%,-11.41%,-20.15%,-18.07%,-13.98%,-22.60%,8.41%
1Y,-,-,-,-,-,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-,-,-,-,-,-
Since Incep. (ann.),-27.00%,-27.97%,18.24%,-50.92%,-35.06%,-16.28%,-28.11%,-25.35%,-19.82%,-31.33%,12.57%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-1.00,-1.04,0.68,-2.40,-1.41,-0.52,-1.05,-0.92,-0.67,-1.21,0.52
Daily Mean (ann.),-19.74%,-20.67%,13.51%,-47.14%,-27.81%,-10.29%,-20.81%,-18.20%,-13.27%,-23.96%,10.03%
Daily Vol (ann.),19.80%,19.80%,19.82%,19.61%,19.76%,19.83%,19.80%,19.81%,19.82%,19.78%,19.30%
Daily Skew,-0.33,-0.42,0.35,-0.32,-0.47,-0.58,-0.13,-0.30,-0.27,-0.57,-0.02
Daily Kurt,3.08,3.05,3.09,3.08,3.02,3.07,3.13,3.09,3.10,3.00,3.04
Best Day,4.69%,4.69%,4.69%,4.69%,4.69%,4.69%,4.69%,4.69%,4.69%,4.21%,4.69%
Worst Day,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-1.58,-1.34,-0.96,-2.38,-1.59,-1.08,-2.22,-1.54,-2.28,-1.35,-0.04
Monthly Mean (ann.),-28.57%,-23.72%,-10.67%,-61.32%,-39.35%,-16.91%,-36.73%,-27.47%,-39.15%,-32.93%,-0.88%
Monthly Vol (ann.),18.05%,17.75%,11.09%,25.81%,24.75%,15.60%,16.57%,17.79%,17.15%,24.32%,24.33%
Monthly Skew,-0.36,-0.32,0.69,-0.32,-0.70,0.15,-0.75,-0.21,-1.00,0.72,-0.55
Monthly Kurt,-1.95,-0.75,-1.17,0.76,-0.63,-1.58,1.48,-1.47,-0.31,1.75,-0.86
Best Month,3.73%,5.08%,4.45%,6.87%,5.04%,5.04%,3.33%,4.24%,1.43%,10.97%,8.20%
Worst Month,-9.25%,-10.02%,-4.08%,-17.97%,-15.15%,-7.21%,-12.36%,-9.62%,-11.91%,-12.51%,-10.84%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-,-,-,-,-,-
Best Year,-,-,-,-,-,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-8.53%,-21.31%,-4.13%,-40.43%,-13.23%,-7.24%,-11.31%,-9.39%,-4.59%,-14.18%,-5.63%
Avg. Drawdown Days,48.80,248.00,28.62,248.00,82.00,48.80,81.00,61.25,26.22,122.00,59.75
Avg. Up Month,2.46%,3.05%,2.73%,6.87%,3.29%,2.46%,2.58%,2.53%,1.34%,10.97%,5.24%
Avg. Down Month,-5.28%,-4.99%,-3.06%,-6.82%,-7.22%,-5.28%,-4.94%,-5.18%,-4.80%,-4.70%,-5.38%
Win Year %,-,-,-,-,-,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-,-,-,-,-,-
