Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06,2000-09-06
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,8.69%,23.49%,24.51%,-4.49%,-21.79%,-23.05%,-0.24%,18.38%,0.94%,-13.62%,8.41%
Daily Sharpe,0.52,1.18,1.22,-0.14,-1.16,-1.24,0.09,0.96,0.15,-0.65,0.52
CAGR,13.00%,36.28%,37.93%,-6.52%,-30.27%,-31.92%,-0.35%,28.08%,1.38%,-19.33%,12.57%
Max Drawdown,-14.67%,-14.74%,-10.71%,-14.67%,-35.88%,-26.73%,-16.83%,-13.97%,-18.86%,-23.42%,-15.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,2.55%,2.94%,2.94%,2.94%,2.16%,2.55%,-2.61%,3.73%,2.94%,-2.98%,-1.14%
3m,8.57%,18.02%,10.10%,-3.91%,-2.29%,-7.78%,3.23%,29.78%,5.08%,-5.14%,9.20%
6m,7.99%,9.62%,7.90%,-2.76%,-24.51%,-17.35%,1.45%,19.48%,-2.78%,-21.73%,2.66%
YTD,8.69%,23.49%,24.51%,-4.49%,-21.79%,-23.05%,-0.24%,18.38%,0.94%,-13.62%,8.41%
1Y,-,-,-,-,-,-,-,-,-,-,-
3Y (ann.),-,-,-,-,-,-,-,-,-,-,-
5Y (ann.),-,-,-,-,-,-,-,-,-,-,-
10Y (ann.),-,-,-,-,-,-,-,-,-,-,-
Since Incep. (ann.),13.00%,36.28%,37.93%,-6.52%,-30.27%,-31.92%,-0.35%,28.08%,1.38%,-19.33%,12.57%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.52,1.18,1.22,-0.14,-1.16,-1.24,0.09,0.96,0.15,-0.65,0.52
Daily Mean (ann.),10.39%,23.30%,24.14%,-2.68%,-22.91%,-24.55%,1.73%,19.03%,2.90%,-12.86%,10.03%
Daily Vol (ann.),19.83%,19.78%,19.78%,19.84%,19.79%,19.78%,19.84%,19.80%,19.84%,19.82%,19.30%
Daily Skew,0.03,0.63,-0.01,-0.58,0.06,-0.45,-0.57,-0.01,0.17,0.29,-0.02
Daily Kurt,3.14,2.98,3.18,3.12,3.19,3.03,3.15,3.16,3.13,3.20,3.04
Best Day,4.69%,5.18%,4.60%,4.69%,4.69%,4.21%,4.69%,5.18%,4.69%,4.69%,4.69%
Worst Day,-5.18%,-4.55%,-5.18%,-5.18%,-5.18%,-5.18%,-5.18%,-4.60%,-5.18%,-5.18%,-5.18%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.57,0.60,1.56,0.74,-2.40,-1.07,0.33,1.04,-0.93,-4.23,-0.04
Monthly Mean (ann.),13.21%,17.35%,27.35%,13.40%,-40.83%,-13.43%,8.33%,28.48%,-16.57%,-33.59%,-0.88%
Monthly Vol (ann.),23.07%,28.71%,17.48%,18.11%,17.04%,12.57%,25.04%,27.28%,17.82%,7.94%,24.33%
Monthly Skew,-0.68,0.14,1.37,1.21,-0.29,-0.27,0.86,-0.23,-1.36,-1.00,-0.55
Monthly Kurt,0.46,-1.35,2.13,1.25,-1.58,-1.84,-0.84,0.09,0.81,0.14,-0.86
Best Month,10.33%,12.75%,12.75%,11.51%,2.16%,2.71%,11.97%,14.92%,3.15%,-0.04%,8.20%
Worst Month,-11.00%,-9.85%,-3.05%,-4.71%,-10.84%,-6.25%,-6.48%,-9.53%,-11.31%,-6.91%,-10.84%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-,-,-,-,-,-,-,-,-
Yearly Mean,-,-,-,-,-,-,-,-,-,-,-
Yearly Vol,-,-,-,-,-,-,-,-,-,-,-
Yearly Skew,-,-,-,-,-,-,-,-,-,-,-
Yearly Kurt,-,-,-,-,-,-,-,-,-,-,-
Best Year,-,-,-,-,-,-,-,-,-,-,-
Worst Year,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-4.15%,-4.22%,-4.09%,-7.14%,-8.92%,-26.73%,-6.39%,-3.21%,-5.30%,-13.48%,-5.63%
Avg. Drawdown Days,20.91,20.82,32.71,40.00,47.60,248.00,60.50,14.53,48.00,121.00,59.75
Avg. Up Month,5.16%,8.27%,4.77%,6.54%,2.02%,2.03%,8.40%,6.04%,2.02%,-,5.24%
Avg. Down Month,-5.66%,-5.38%,-1.87%,-2.14%,-5.21%,-4.27%,-3.93%,-8.63%,-4.79%,-2.80%,-5.38%
Win Year %,-,-,-,-,-,-,-,-,-,-,-
Win 12m %,-,-,-,-,-,-,-,-,-,-,-
