,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,0.0237445676155,1.79037899823,2.72462800442
Daily Sharpe,0.268506508038,0.0873376226199,3.49133918476,4.51741496858
Monthly Sharpe,0.185226080664,0.0808487113426,2.32256818797,3.01067564944
Yearly Sharpe,0.233200716217,0.0762496073256,1.356425825,1.50654546941
Max Drawdown,-0.223541484233,-0.115023292115,-0.0463225682103,-0.0404113243667
Avg Drawdown,-0.0175170842881,-0.0151985754965,-0.00549506314034,-0.00478720812741
Avg Up Month,0.0286682239501,0.01130474694,0.0245486652357,0.0265730868457
Avg Down Month,-0.0258271450996,-0.0102930364945,-0.00901374067301,-0.00757834537819
Win Year %,0.4,0.48,0.92,0.96
Win 12m %,0.563636363636,0.512727272727,0.996363636364,0.996363636364
Reallocation Freq,0.0,0.5,0.216466466466,0.173473473473
Short Freq,0.0,0.4981,0.37545,0.41215
