r_1,a_0,a_1,logReturn
1.64966733223000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.75119978790273e-03
2.81426934012000e-03,0.00000000000000e+00,1.00000000000000e+00,2.81031669828994e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.87138751159612e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.68746770612805e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-5.63252361859596e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,2.23248398000979e-03
-2.05783005392000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.95591600251109e-03
-3.64799694923000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.54171765627918e-03
-6.66866421041000e-04,2.00000000000000e+00,-1.00000000000000e+00,5.66705812964011e-04
-6.16045945534000e-04,2.00000000000000e+00,-1.00000000000000e+00,5.15912839615598e-04
-4.56347412540000e-03,2.00000000000000e+00,-1.00000000000000e+00,4.45354236722980e-03
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.58367327097432e-03
1.58721385827000e-04,2.00000000000000e+00,-1.00000000000000e+00,-2.58754859978574e-04
-2.75938638667000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.76320051133033e-03
-4.43184072566000e-05,0.00000000000000e+00,1.00000000000000e+00,-4.43193893462324e-05
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.70330804430948e-03
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.54722744962943e-03
1.40502249509000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.50615617906806e-03
-1.76444291858000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.76600138146883e-03
3.69068659376000e-04,0.00000000000000e+00,1.00000000000000e+00,3.69000570290876e-04
-2.38523708008000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.38552159311969e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-2.99938539896960e-04
1.60303190879000e-04,0.00000000000000e+00,1.00000000000000e+00,1.60290343695449e-04
-2.59692204234000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.49380991191885e-03
-1.12791660019000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.02738865567925e-03
-1.48051370882000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.37956167586560e-03
8.32607679355000e-05,0.00000000000000e+00,1.00000000000000e+00,8.32573019501695e-05
-3.13583239829000e-04,2.00000000000000e+00,-1.00000000000000e+00,2.13560434175941e-04
