Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-5.52%,0.48%,1.85%,-0.86%,0.12%,-1.47%,1.18%,-0.94%,1.09%,-1.25%,7.81%
Daily Sharpe,-0.16,0.04,0.08,-0.01,0.02,-0.03,0.06,-0.01,0.05,-0.02,0.27
CAGR,-1.03%,0.09%,0.34%,-0.16%,0.02%,-0.27%,0.21%,-0.17%,0.20%,-0.23%,1.38%
Max Drawdown,-26.52%,-26.00%,-26.04%,-27.01%,-24.83%,-26.85%,-25.22%,-26.65%,-25.44%,-26.30%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-1.73%,-1.73%,-1.39%,-1.85%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.48%
3m,-7.88%,-8.56%,-8.07%,-7.75%,-9.14%,-8.56%,-8.07%,-8.62%,-8.07%,-8.07%,-7.87%
6m,-14.40%,-14.90%,-14.10%,-14.21%,-15.88%,-14.56%,-14.10%,-15.35%,-14.47%,-14.35%,-13.88%
YTD,-13.02%,-13.86%,-13.05%,-13.16%,-14.84%,-13.51%,-13.05%,-14.31%,-13.42%,-13.30%,-12.51%
