Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-36.47%,-43.97%,-24.95%,-47.20%,-35.69%,-42.57%,-42.21%,-41.07%,-43.75%,-41.61%,7.81%
Daily Sharpe,-1.48,-1.89,-0.93,-2.09,-1.44,-1.81,-1.79,-1.72,-1.88,-1.75,0.27
CAGR,-7.96%,-10.04%,-5.11%,-11.01%,-7.75%,-9.64%,-9.53%,-9.21%,-9.98%,-9.36%,1.38%
Max Drawdown,-37.96%,-45.26%,-26.37%,-49.41%,-36.58%,-42.80%,-42.52%,-42.41%,-44.31%,-42.10%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.43%,-0.69%,0.91%,-1.53%,-0.62%,-1.35%,0.01%,-0.72%,-1.17%,-0.23%,-1.48%
3m,-3.22%,-1.85%,-0.51%,-1.82%,-1.79%,-4.17%,-3.89%,-0.52%,-0.74%,-1.61%,-7.87%
6m,-6.82%,-2.87%,-3.13%,-5.89%,-2.14%,-7.10%,-5.84%,-2.23%,-5.53%,-5.07%,-13.88%
YTD,-5.70%,-2.67%,-3.91%,-5.38%,-1.42%,-7.58%,-5.00%,-2.55%,-4.62%,-4.92%,-12.51%
