Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,116.87%,121.89%,137.81%,7.76%,7.76%,80.06%,7.76%,101.04%,7.76%,7.76%,7.81%
Daily Sharpe,2.57,2.65,2.92,0.27,0.27,1.98,0.27,2.28,0.27,0.27,0.27
CAGR,15.19%,15.68%,17.15%,1.38%,1.38%,11.34%,1.38%,13.61%,1.38%,1.38%,1.38%
Max Drawdown,-8.92%,-5.53%,-6.56%,-22.35%,-22.35%,-9.75%,-22.35%,-7.32%,-22.35%,-22.35%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,0.76%,-2.57%,1.44%,-1.73%,-1.73%,-1.73%,-1.73%,1.55%,-1.73%,-1.73%,-1.48%
3m,5.11%,-1.39%,4.74%,-8.07%,-8.07%,-2.89%,-8.07%,0.10%,-8.07%,-8.07%,-7.87%
6m,9.08%,2.82%,11.36%,-14.10%,-14.10%,-4.56%,-14.10%,-2.02%,-14.10%,-14.10%,-13.88%
YTD,8.85%,2.60%,10.24%,-13.05%,-13.05%,-3.19%,-13.05%,-0.63%,-13.05%,-13.05%,-12.51%
