r_1,a_0,a_1,logReturn
1.64966733223000e-03,0.00000000000000e+00,1.00000000000000e+00,1.64830812569685e-03
2.81426934012000e-03,0.00000000000000e+00,1.00000000000000e+00,2.81031669828994e-03
3.87889101209000e-03,2.00000000000000e+00,-1.00000000000000e+00,-5.39340933139143e-03
2.69108218467000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.20085337847426e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.03783463701545e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,1.22841991135268e-03
-2.05783005392000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.06045361544420e-03
-3.64799694923000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65466736945745e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.67088875482858e-04
-6.16045945534000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.16235779806036e-04
-4.56347412540000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.57391856083384e-03
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.18770752743747e-03
1.58721385827000e-04,0.00000000000000e+00,1.00000000000000e+00,-8.38696544563388e-04
-2.75938638667000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.76370084351980e-03
-4.43184072566000e-05,0.00000000000000e+00,1.00000000000000e+00,-4.43196395234299e-05
-1.80475949743000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.80639003809479e-03
-1.64842502358000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.64978517104887e-03
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,1.40403637455699e-03
-1.76444291858000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.76600138146883e-03
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.87081754773741e-03
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,-2.62631940933378e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-7.00150651139386e-04
1.60303190879000e-04,0.00000000000000e+00,1.00000000000000e+00,-8.40500145118839e-04
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.60080184303780e-03
-1.12791660019000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.12855342809191e-03
-1.48051370882000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48161075229233e-03
8.32607679355000e-05,2.00000000000000e+00,-1.00000000000000e+00,-1.58451544976578e-03
-3.13583239829000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.87268876021571e-04
1.97780636921000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.48094454641677e-03
2.23143841485000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.73741509106468e-03
-1.51298182660000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.51864030009799e-03
3.74187220793000e-04,0.00000000000000e+00,1.00000000000000e+00,3.73614909323701e-04
-3.44584618722000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.45179704106028e-03
-7.56224058167000e-04,2.00000000000000e+00,-1.00000000000000e+00,-7.44052680514482e-04
4.98808361579000e-04,2.00000000000000e+00,-1.00000000000000e+00,-9.99313737961059e-04
1.65632046767000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.15939985437227e-03
3.85202466886000e-03,0.00000000000000e+00,1.00000000000000e+00,2.84605997820288e-03
1.92431841073000e-03,0.00000000000000e+00,1.00000000000000e+00,1.92197070948660e-03
3.19071003312000e-04,0.00000000000000e+00,1.00000000000000e+00,3.19019861777868e-04
1.18340228110000e-03,0.00000000000000e+00,1.00000000000000e+00,1.18270261243454e-03
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,2.99636718364510e-04
1.47292872102000e-03,0.00000000000000e+00,1.00000000000000e+00,1.47184502551838e-03
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,1.52717463449246e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,2.39736378746215e-03
3.57869142077000e-04,0.00000000000000e+00,1.00000000000000e+00,3.57805122188864e-04
6.82717835755000e-04,0.00000000000000e+00,1.00000000000000e+00,6.82484889951420e-04
1.53280220346000e-03,0.00000000000000e+00,1.00000000000000e+00,1.53162866121488e-03
-5.17237716502000e-04,0.00000000000000e+00,1.00000000000000e+00,-5.17371530073988e-04
-1.10284078395000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.10344936033037e-03
-4.83876475787000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.85050948201583e-03
-1.05904077874000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.41056472367613e-04
-3.18099835238000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.67710253638585e-03
-9.25976062111000e-04,2.00000000000000e+00,-1.00000000000000e+00,4.22963592310456e-04
-1.20012926694000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.80733772534495e-04
-1.57424084780000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.57769061333104e-03
-4.29101563353000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.30075197930956e-03
-2.30536392953000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.30802562447652e-03
9.70898165109000e-04,0.00000000000000e+00,1.00000000000000e+00,9.70427148207592e-04
1.22350348388000e-03,0.00000000000000e+00,1.00000000000000e+00,1.22275561344493e-03
-1.48223356800000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48333316288037e-03
-3.04890337104000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.05356074592279e-03
4.10205886202000e-03,0.00000000000000e+00,1.00000000000000e+00,4.09366835630523e-03
1.16873488377000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.67230230512464e-03
2.32460519890000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.83053124465824e-03
3.39735926660000e-03,0.00000000000000e+00,1.00000000000000e+00,2.39191349168622e-03
6.44561441484000e-04,0.00000000000000e+00,1.00000000000000e+00,6.43854029165706e-04
-1.52879102367000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.52891039492290e-04
6.98572176883000e-05,0.00000000000000e+00,1.00000000000000e+00,6.98547776614580e-05
2.47923609367000e-03,0.00000000000000e+00,1.00000000000000e+00,2.47616785807304e-03
1.71518435122000e-03,0.00000000000000e+00,1.00000000000000e+00,1.71371510232255e-03
3.91466059809000e-03,0.00000000000000e+00,1.00000000000000e+00,3.90701825259052e-03
7.83333898422000e-04,0.00000000000000e+00,1.00000000000000e+00,7.83027252550747e-04
1.02415470009000e-03,0.00000000000000e+00,1.00000000000000e+00,1.02363061146649e-03
2.66100895109000e-03,0.00000000000000e+00,1.00000000000000e+00,2.65747473510291e-03
4.91618794783000e-03,0.00000000000000e+00,1.00000000000000e+00,4.90414295669035e-03
7.06529056358000e-05,0.00000000000000e+00,1.00000000000000e+00,7.06504098368118e-05
-1.94630558202000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.94820209592593e-03
-2.94160862702000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.94594366108022e-03
3.66681641957000e-03,0.00000000000000e+00,1.00000000000000e+00,3.66011003729120e-03
-2.84654727794000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.85060639845842e-03
-4.68380479193000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.69480817751214e-03
-3.86653981465000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.36374396942003e-03
