r_1,a_0,a_1,logReturn
1.64966733223000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.15243616108010e-03
2.81426934012000e-03,0.00000000000000e+00,1.00000000000000e+00,1.81072499954430e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.87088939787205e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.68746745773971e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.04142343466574e-03
2.23497782785000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.74505301360702e-03
-2.05783005392000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.06501739720777e-03
-3.64799694923000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65517174405676e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.67089127838528e-04
-6.16045945534000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.16235779932235e-04
-4.56347412540000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.57391856083384e-03
-3.69010230559000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.69692752879082e-03
1.58721385827000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.66009858728461e-03
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.25592963164666e-03
-4.43184072566000e-05,2.00000000000000e+00,-1.00000000000000e+00,-4.58289869183014e-04
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.30370228009938e-03
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.14621523734272e-03
1.40502249509000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.90823807142985e-03
-1.76444291858000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.76993453065682e-03
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.87132070693230e-03
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,-2.62632193143469e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-7.00150651265485e-04
1.60303190879000e-04,2.00000000000000e+00,-1.00000000000000e+00,-6.60971799309426e-04
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.60381880331005e-03
-1.12791660019000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.72654838301486e-04
-1.48051370882000e-03,2.00000000000000e+00,-1.00000000000000e+00,9.79655882897398e-04
8.32607679355000e-05,2.00000000000000e+00,-1.00000000000000e+00,-5.84660768839642e-04
-3.13583239829000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.86768270867650e-04
1.97780636921000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.48094479730925e-03
2.23143841485000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.73741509119103e-03
-1.51298182660000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.00998226256889e-03
3.74187220793000e-04,2.00000000000000e+00,-1.00000000000000e+00,-8.75831112371734e-04
-3.44584618722000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.94089215661517e-03
-7.56224058167000e-04,2.00000000000000e+00,-1.00000000000000e+00,2.53005899884243e-04
4.98808361579000e-04,2.00000000000000e+00,-1.00000000000000e+00,-9.99812510901121e-04
1.65632046767000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.15940010467262e-03
3.85202466886000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.36344146542294e-03
