r_1,a_0,a_1,logReturn
1.64966733223000e-03,0.00000000000000e+00,1.00000000000000e+00,1.64830812569685e-03
2.81426934012000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.81823684157282e-03
3.87889101209000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.88643342026902e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.68746770612805e-03
5.51669069782000e-03,0.00000000000000e+00,1.00000000000000e+00,5.50152949391493e-03
2.23497782785000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.23747911837634e-03
-2.05783005392000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.05571562191886e-03
-3.64799694923000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.64135914658377e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.67088875356431e-04
-6.16045945534000e-04,2.00000000000000e+00,-1.00000000000000e+00,6.15856267126901e-04
-4.56347412540000e-03,2.00000000000000e+00,-1.00000000000000e+00,4.55309304789104e-03
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.68331058105489e-03
1.58721385827000e-04,0.00000000000000e+00,1.00000000000000e+00,1.58708790920498e-04
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.75558626911112e-03
-4.43184072566000e-05,0.00000000000000e+00,1.00000000000000e+00,-4.43193893462324e-05
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.80313287582133e-03
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.64706786229851e-03
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,1.40403637455699e-03
-1.76444291858000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.76288811780959e-03
3.69068659376000e-04,0.00000000000000e+00,1.00000000000000e+00,3.69000570290876e-04
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,2.38495265751069e-04
1.99893562830000e-04,0.00000000000000e+00,1.00000000000000e+00,1.99873586773793e-04
1.60303190879000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.60316040808785e-04
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.60029989366533e-03
-1.12791660019000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.12728098016760e-03
-1.48051370882000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48161075216647e-03
8.32607679355000e-05,2.00000000000000e+00,-1.00000000000000e+00,-8.32642343056708e-05
-3.13583239829000e-04,0.00000000000000e+00,1.00000000000000e+00,-3.13632417334243e-04
1.97780636921000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.97976481093207e-03
2.23143841485000e-03,0.00000000000000e+00,1.00000000000000e+00,2.22895245364312e-03
-1.51298182660000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.51183842275037e-03
3.74187220793000e-04,0.00000000000000e+00,1.00000000000000e+00,3.74117230214039e-04
-3.44584618722000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.43992286259052e-03
-7.56224058167000e-04,2.00000000000000e+00,-1.00000000000000e+00,7.55938264827491e-04
4.98808361579000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.98932807854746e-04
1.65632046767000e-03,0.00000000000000e+00,1.00000000000000e+00,1.65495028169365e-03
3.85202466886000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.85946282333198e-03
1.92431841073000e-03,0.00000000000000e+00,1.00000000000000e+00,1.92246928188554e-03
3.19071003312000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.19121917294948e-04
1.18340228110000e-03,0.00000000000000e+00,1.00000000000000e+00,1.18270261255896e-03
2.99681613930000e-04,2.00000000000000e+00,-1.00000000000000e+00,-2.99726527438270e-04
1.47292872102000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.47401454688899e-03
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,1.52717463449246e-03
2.40023976182000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.40312495497198e-03
3.57869142077000e-04,0.00000000000000e+00,1.00000000000000e+00,3.57805122188864e-04
6.82717835755000e-04,2.00000000000000e+00,-1.00000000000000e+00,-6.82950993703415e-04
1.53280220346000e-03,0.00000000000000e+00,1.00000000000000e+00,1.53162866121488e-03
-5.17237716502000e-04,0.00000000000000e+00,1.00000000000000e+00,-5.17371530073988e-04
-1.10284078395000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.10223310179599e-03
-4.83876475787000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.85050948201583e-03
-1.05904077874000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.05848039066888e-03
-3.18099835238000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.18606848254437e-03
