,Buy and Hold,RSPGPE,RSNPGPE,RSARAC
Total Return,0.078050644345,0.697665075263,0.302664152824,-0.0192292084865
Daily Sharpe,0.268506508038,1.67699904935,0.866004906103,-0.0509427092238
Monthly Sharpe,0.185226080664,1.03503156131,0.541386335695,-0.0573882306752
Yearly Sharpe,0.233200716217,0.582760328006,0.40854990611,-0.0905357133044
Max Drawdown,-0.223541484233,-0.122610570271,-0.156815526325,-0.161820387135
Avg Drawdown,-0.0175170842881,-0.0113152868917,-0.0142860774178,-0.0156887956926
Avg Up Month,0.0286682239501,0.0274618579078,0.028229102712,0.0108374996615
Avg Down Month,-0.0258271450996,-0.0152405202609,-0.0186118022417,-0.0117662867238
Win Year %,0.4,0.74,0.68,0.52
Win 12m %,0.563636363636,0.852727272727,0.718181818182,0.441818181818
Reallocation Freq,0.0,0.134634634635,0.164864864865,0.643193193193
Short Freq,0.0,0.17185,0.1053,0.6372
