Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,6.39%,-5.87%,22.82%,-13.02%,5.72%,-6.61%,-4.76%,-1.01%,-7.43%,-5.02%,7.81%
Daily Sharpe,0.22,-0.18,0.70,-0.44,0.20,-0.21,-0.14,-0.01,-0.24,-0.15,0.27
CAGR,1.14%,-1.10%,3.83%,-2.52%,1.02%,-1.24%,-0.89%,-0.19%,-1.40%,-0.94%,1.38%
Max Drawdown,-8.72%,-17.82%,-9.97%,-20.15%,-12.52%,-11.42%,-8.06%,-10.71%,-12.41%,-14.46%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-0.84%,-0.04%,1.47%,-1.04%,0.08%,-0.76%,0.46%,-0.02%,-0.82%,0.47%,-1.48%
3m,-0.92%,0.68%,1.90%,0.37%,0.84%,-2.14%,-2.19%,2.20%,1.41%,0.68%,-7.87%
6m,-2.58%,2.31%,1.38%,-1.61%,2.67%,-3.26%,-1.76%,2.52%,-1.19%,-0.65%,-13.88%
YTD,-1.66%,2.27%,0.31%,-1.28%,3.37%,-3.95%,-1.13%,1.98%,-0.49%,-0.69%,-12.51%
