,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,-0.213755116364,0.0676425711469
Daily Sharpe,0.268506508038,-0.850316056829,0.235720261701
Monthly Sharpe,0.185226080664,-0.335960726966,0.164204194934
Yearly Sharpe,0.233200716217,-0.08685368495,0.221984076226
Max Drawdown,-0.223541484233,-0.351499856266,-0.2295268932
Avg Drawdown,-0.0175170842881,-0.0897086511744,-0.0178798911983
Avg Up Month,0.0286682239501,0.0324083086927,0.0308592349201
Avg Down Month,-0.0258271450996,-0.0246806407408,-0.0244973608621
Win Year %,0.4,0.3,0.54
Win 12m %,0.563636363636,0.381818181818,0.556363636364
Reallocation Freq,0.0,0.124024024024,0.00550550550551
Short Freq,0.0,0.17635,0.00505
