Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,7.76%,7.76%,7.76%,7.76%,5.94%,6.94%,7.76%,1.48%,7.49%,6.97%,7.81%
Daily Sharpe,0.27,0.27,0.27,0.27,0.21,0.24,0.27,0.07,0.26,0.24,0.27
CAGR,1.38%,1.38%,1.38%,1.38%,1.06%,1.23%,1.38%,0.27%,1.33%,1.24%,1.38%
Max Drawdown,-22.35%,-22.35%,-22.35%,-22.35%,-23.49%,-22.95%,-22.35%,-25.84%,-22.55%,-22.92%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.73%,-1.48%
3m,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.07%,-8.21%,-8.07%,-8.34%,-7.87%
6m,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.10%,-14.19%,-14.10%,-14.36%,-13.88%
YTD,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.14%,-13.05%,-13.31%,-12.51%
