r_1,a_0,a_1,logReturn
1.64966733223000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.65108886839787e-03
2.81426934012000e-03,0.00000000000000e+00,1.00000000000000e+00,2.61052845910259e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.87136760798021e-03
2.69108218467000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.89526943716963e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-5.53252677398358e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,2.03180280227163e-03
-2.05783005392000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.05997040693374e-03
-3.64799694923000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65466711889454e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.67088875356653e-04
-6.16045945534000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.16235779805925e-04
-4.56347412540000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.57391856083384e-03
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.48402603231092e-03
1.58721385827000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.59449620453969e-04
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.75555453577236e-03
-4.43184072566000e-05,2.00000000000000e+00,-1.00000000000000e+00,4.37670939940647e-05
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.80312408342910e-03
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.64670815441951e-03
1.40502249509000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.40634003441004e-03
-1.76444291858000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.96665695415977e-03
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.69250719397701e-04
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,2.38401418972900e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.99961237731244e-04
1.60303190879000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.60356038698282e-04
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.80087289708559e-03
-1.12791660019000e-03,2.00000000000000e+00,-1.00000000000000e+00,9.27466311001457e-04
-1.48051370882000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.47921374180268e-03
8.32607679355000e-05,2.00000000000000e+00,-1.00000000000000e+00,-8.35599035246365e-05
-3.13583239829000e-04,0.00000000000000e+00,1.00000000000000e+00,-5.13731860558767e-04
1.97780636921000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.18020129375443e-03
2.23143841485000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.23434918520743e-03
-1.51298182660000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.51139177072643e-03
3.74187220793000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.74559454131921e-04
-3.44584618722000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65258365225720e-03
-7.56224058167000e-04,0.00000000000000e+00,1.00000000000000e+00,-7.56530235716468e-04
4.98808361579000e-04,0.00000000000000e+00,1.00000000000000e+00,4.98683996033599e-04
1.65632046767000e-03,0.00000000000000e+00,1.00000000000000e+00,1.65495028169343e-03
3.85202466886000e-03,0.00000000000000e+00,1.00000000000000e+00,3.84462461919687e-03
1.92431841073000e-03,0.00000000000000e+00,1.00000000000000e+00,1.92246928188554e-03
3.19071003312000e-04,0.00000000000000e+00,1.00000000000000e+00,3.19020110984722e-04
1.18340228110000e-03,0.00000000000000e+00,1.00000000000000e+00,1.18270261255896e-03
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,2.99636718364510e-04
1.47292872102000e-03,0.00000000000000e+00,1.00000000000000e+00,1.47184502551838e-03
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,1.52717463449246e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,2.39736378746215e-03
3.57869142077000e-04,0.00000000000000e+00,1.00000000000000e+00,3.57805122188864e-04
6.82717835755000e-04,0.00000000000000e+00,1.00000000000000e+00,6.82484889951420e-04
1.53280220346000e-03,0.00000000000000e+00,1.00000000000000e+00,1.53162866121488e-03
-5.17237716502000e-04,0.00000000000000e+00,1.00000000000000e+00,-5.17371530073988e-04
-1.10284078395000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.10344936033037e-03
-4.83876475787000e-03,2.00000000000000e+00,-1.00000000000000e+00,4.62803884582846e-03
-1.05904077874000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.25888947083103e-03
-3.18099835238000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.18608847688370e-03
-9.25976062111000e-04,2.00000000000000e+00,-1.00000000000000e+00,7.25712666961932e-04
-1.20012926694000e-04,2.00000000000000e+00,-1.00000000000000e+00,1.19840670142490e-04
-1.57424084780000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.57297908408112e-03
-4.29101563353000e-03,2.00000000000000e+00,-1.00000000000000e+00,4.28152247019519e-03
-2.30536392953000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.30185811495228e-03
9.70898165109000e-04,2.00000000000000e+00,-1.00000000000000e+00,-9.71830166535893e-04
1.22350348388000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.22444722798952e-03
-1.48223356800000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.48089148675744e-03
-3.04890337104000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.04396980702192e-03
4.10205886202000e-03,0.00000000000000e+00,1.00000000000000e+00,3.89507111171009e-03
1.16873488377000e-03,0.00000000000000e+00,1.00000000000000e+00,1.16803260631992e-03
