Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
Start,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01,2000-01-01
End,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22,2005-06-22
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,41.15%,-17.85%,35.93%,7.76%,-0.35%,-68.36%,6.08%,-94.97%,-17.56%,0.29%,7.81%
Daily Sharpe,1.16,-0.57,1.04,0.27,0.01,-2.19,0.21,-5.14,-0.55,0.03,0.27
CAGR,6.50%,-3.53%,5.77%,1.38%,-0.06%,-18.96%,1.09%,-42.09%,-3.47%,0.05%,1.38%
Max Drawdown,-17.33%,-31.18%,-17.33%,-22.35%,-28.20%,-68.50%,-22.35%,-95.08%,-33.47%,-28.13%,-22.35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.73%,-1.73%,1.73%,-1.73%,-1.73%,-4.44%,-1.73%,-9.56%,-1.73%,-1.73%,-1.48%
3m,8.57%,-10.16%,8.57%,-8.07%,-8.07%,-8.84%,-8.07%,-27.03%,-10.04%,-8.07%,-7.87%
6m,12.51%,-16.06%,8.34%,-14.10%,-14.10%,-18.81%,-14.10%,-39.94%,-16.54%,-14.10%,-13.88%
YTD,14.61%,-15.03%,9.67%,-13.05%,-13.05%,-18.30%,-13.05%,-38.82%,-15.52%,-13.05%,-12.51%
